town_name,brand_1,brand_2,brand_3,brand_4
Athi River,Tuscom,,,
Eldoret,FoneXpress,Naivacom,Phonelink,Tuscom
Kakamega,FoneXpress,Phonelink,Tuscom,
Kericho ,Tuscom,,,
Kiambu,FoneXpress,,,
Kilifi ,Tuscom,,,
Kisii,FoneXpress,,,
Kisumu,FoneXpress,Phonelink,Tuscom,
Kitengela,Naivacom,,,
Machakos,Naivacom,,,
Matasia,Tuscom,,,
Meru,FoneXpress,,,
Mombasa,FoneXpress,Naivacom,Tuscom,
Nairobi,FoneXpress,Naivacom,Phonelink,Tuscom
Naivasha,Naivacom,,,
Nakuru,FoneXpress,Naivacom,Tuscom,
Nanyuki,FoneXpress,,,
Rongai ,Tuscom,,,
Ruai ,Tuscom,,,
Thika,FoneXpress,Tuscom,,
