SAMSUNG GALAXY TAB2- P3100-8GB,SGHP3100-8GB,Samsung,GALAXY TAB2- P3100-8GB,Tablet,"32,499","30,870","32,499","29,249","27,790","28,440","25,600","24,320","12,190","10,970","10,420"
SAMSUNG TAB P7500 - 32GB,SGHP7500-32GB,Samsung,GT-P7500 Galaxy Tab 10.1,Tablet,"43,999","41,790","43,999","39,599","37,620","38,500","34,650","32,920","16,500","14,850","14,110"
SAMSUNG GALAXY TAB 2 - P5100,SGHP5100-16GB,Samsung,GT-P5100,Tablet,"45,999","43,690","45,999","41,399","39,330","40,250","36,230","34,420","17,250","15,530","14,750"
SAMSUNG GALAXY TAB 3 - P5200,SGHP5200-16GB,Samsung,GT-P5200,Tablet,"54,999","52,240","54,999","49,499","47,020","48,120","43,310","41,140","20,620","18,560","17,630"
SAMSUNG GALAXY NOTE- N7000,SGHN7000-16GB,Samsung,GT-N7000,Phone,"44,999","42,740","44,999","40,499","38,470","39,370","35,430","33,660","16,870","15,180","14,420"
SAMSUNG GALAXY NOTE 8.0- N5100,SGHN5100-16GB,Samsung,GT-N5100,Phone,"55,499","52,720","55,499","49,949","47,450","48,560","43,700","41,520","20,810","18,730","17,790"
SAMSUNG GALAXY 7.0 TAB 3- T211-8GB,SGHT211-8GB,Samsung,GALAXY 7.0 TAB 3- T211-8GB,Tablet,"35,999","34,190","35,999","32,399","30,780","31,500","28,350","26,930","13,500","12,150","11,540"
SAMSUNG GALAXY 7.0 TAB3- T211-16GB,SGHT211-16GB,Samsung,GALAXY 7.0 TAB3- T211-16GB,Tablet,"39,999","37,990","39,999","35,999","34,200","35,000","31,500","29,930","15,000","13,500","12,830"
IPAD 2 - 32GB 3G + WIFI,IPAD2-32GB,Apple,IPAD 2 - 32GB 3G + WIFI,Tablet,"69,999","66,490","69,999","62,999","59,850","61,250","55,130","52,370","26,250","23,630","22,450"
IPAD 2 - 64GB 3G + WIFI,IPAD2-64GB,Apple,IPAD 2 - 64GB 3G + WIFI,Tablet,"74,999","71,240","74,999","67,499","64,120","65,620","59,060","56,110","28,120","25,310","24,040"
IPAD 32GB 3G & WIFI,IPAD32GB-3G,Apple,IPAD 32GB 3G & WIFI,Tablet,"57,999","55,090","57,999","52,199","49,590","50,750","45,680","43,400","21,750","19,580","18,600"
IPAD 4 - 16GB,IPAD4- 16GB,Apple,IPAD 4 - 16GB,Tablet,"76,999","73,140","76,999","69,299","65,830","67,370","60,630","57,600","28,870","25,980","24,680"
IPAD 4 - 32GB,IPAD4- 32GB,Apple,IPAD 4 - 32GB,Tablet,"89,999","85,490","89,999","80,999","76,950","78,750","70,880","67,340","33,750","30,380","28,860"
IPAD MINI - 16GB,IPADMINI-16GB,Apple,IPAD MINI - 16GB,Tablet,"57,999","55,090","57,999","52,199","49,590","50,750","45,680","43,400","21,750","19,580","18,600"
IPAD MINI - 32GB,IPADMINI-32GB,Apple,IPAD MINI - 32GB,Tablet,"72,999","69,340","72,999","65,699","62,410","63,870","57,480","54,610","27,370","24,630","23,400"
IPHONE 5 - 16GB,IPHONE5-16GB,Apple,IPHONE 5 - 16GB,Phone,"80,999","76,940","80,999","72,899","69,250","70,870","63,780","60,590","30,370","27,330","25,960"
