marketing_name,stock_code,vendor,model,device_type,catalog_price,wholesale_price,fd_insured_value,fd_replacement_value,fd_koil_invoice_value,yop_insured_value,yop_replacement_value,yop__fd_koil_invoice_value,prev_insured_value,prev_replacement_value,prev_fd_koil_invoice_value
ALCATEL FLIP OT 2010D,ALCOT2010D,Alcatel,FLIP OT 2010D,Phone,"5,799","5,500","5,799","4,799","4,560","5,070","4,070","3,870","2,170","1,170","1,110"
ALCATEL IDOL ULTRA OT6033X,ALCOT6033X,Alcatel,IDOL ULTRA OT6033X,Phone,"34,799","33,050","34,799","31,319","29,750","30,450","27,410","26,040","13,050","11,750","11,160"
ALCATEL M-POP OT 5020D,ALCOT5020D,Alcatel,M-POP OT 5020D,Phone,"13,999","13,290","13,999","12,599","11,970","12,250","11,030","10,480","5,250","4,250","4,040"
ALCATEL OFFICER OT2005D,ALCOT2005D,Alcatel,OFFICER OT2005D,Phone,"4,599","4,360","4,599","3,599","3,420","4,020","3,020","2,870","1,720",720,680
ALCATEL OT8000D PHONE,ALCOT8000D,Alcatel,OT8000D PHONE,Phone,"25,499","24,220","25,499","22,949","21,800","22,310","20,080","19,080","9,560","8,560","8,130"
ALCATEL PHONE 0T-282,ALCOT282,Alcatel,PHONE 0T-282,Phone,"3,699","3,510","3,699","2,699","2,560","3,240","2,240","2,130","1,390",390,370
ALCATEL PHONE OT 813D,ALCOT813D,Alcatel,OT 813D,Phone,"8,699","8,260","8,699","7,699","7,310","7,610","6,610","6,280","3,260","2,260","2,150"
ALCATEL PHONE OT506D,ALCOT506D,Alcatel,PHONE OT506D,Phone,"3,999","3,790","3,999","2,999","2,850","3,500","2,500","2,380","1,500",500,480
ALCATEL PHONE OT-595D,ALCOT595,Alcatel,OT-595D,Phone,"4,899","4,650","4,899","3,899","3,700","4,290","3,290","3,130","1,840",840,800
ALCATEL PHONE OT708,ALCOT708,Alcatel,PHONE OT708,Phone,"9,199","8,730","9,199","8,199","7,790","8,050","7,050","6,700","3,450","2,450","2,330"
