marketing_name,vendor,model,device_type,catalog_price,wholesale_price,fd_insured_value,fd_replacement_value,fd_koil_invoice_value,yop_insured_value,yop_replacement_value,yop_fd_koil_invoice_value,prev_insured_value,prev_replacement_value,prev_fd_koil_invoice_value
ALCATEL TABLET EVO7- TABLET 7,Alcatel,EVO7- TABLET 7,Tablet,"20,999","19,940","20,999","18,899","17,950","18,370","16,530","15,700","7,870","6,870","6,530"
ALCATEL PHONE OT 813D,Alcatel,OT 813D,Phone,"7,499","7,120","7,499","6,499","6,170","6,560","5,560","5,280","2,810","1,810","1,720"
ALCATEL PHONE OT-358D,Alcatel,OT-358D,Phone,"2,699","2,560","2,699","1,699","1,610","2,360","1,360","1,290","1,010",10,10
ALCATEL PHONE OT-595D,Alcatel,OT-595D,Phone,"4,250","4,030","4,250","3,250","3,090","3,720","2,720","2,580","1,590",590,560
ALCATEL PHONE OT-720D,Alcatel,OT-720D,Phone,"4,999","4,740","4,999","3,999","3,800","4,370","3,370","3,200","1,870",870,830
ALCATEL PHONE OT-810,Alcatel,OT-810,Phone,"6,250","5,930","6,250","5,250","4,990","5,470","4,470","4,250","2,340","1,340","1,270"
ALCATEL PHONE OT-916,Alcatel,OT-916,Phone,"9,999","9,490","9,999","8,999","8,550","8,750","7,750","7,360","3,750","2,750","2,610"
ALCATEL PHONE OT-918D,Alcatel,OT-918D,Phone,"8,999","8,540","8,999","7,999","7,600","7,870","6,870","6,530","3,370","2,370","2,250"
ALCATEL PHONE - OT-991D,Alcatel,OT-991D,Phone,"11,999","11,390","11,999","10,799","10,260","10,500","9,450","8,980","4,500","3,500","3,330"
ALCATEL PHONE T905 MINI 3G,Alcatel,T905 MINI 3G,Phone,"7,499","7,120","7,499","6,499","6,170","6,560","5,560","5,280","2,810","1,810","1,720"
ALCATEL PHONE ULTRA- OT-997D,Alcatel,ULTRA- OT-997D,Phone,"19,999","18,990","19,999","17,999","17,100","17,500","15,750","14,960","7,500","6,500","6,180"
IPAD 3- 4G-32GB,Apple,IPAD 3- 4G-32GB,Tablet,"69,999","66,490","69,999","62,999","59,850","61,250","55,130","52,370","26,250","23,630","22,450"
IPHONE 4S - 32GB,Apple,IPHONE 4S - 32GB,Phone,"69,999","66,490","69,999","62,999","59,850","61,250","55,130","52,370","26,250","23,630","22,450"
IPHONE 5 - 16GB,Apple,IPHONE 5 - 16GB,Phone,"79,999","75,990","79,999","71,999","68,400","70,000","63,000","59,850","30,000","27,000","25,650"
BLACKBERRY PHONE 9220,Blackberry,9220,Phone,"14,999","14,240","14,999","13,499","12,820","13,120","11,810","11,220","5,620","4,620","4,390"
BLACKBERRY PHONE 9320,Blackberry,9320,Phone,"19,999","18,990","19,999","17,999","17,100","17,500","15,750","14,960","7,500","6,500","6,180"
BLACKBERRY PHONE BB9360,Blackberry,BB9360,Phone,"25,999","24,690","25,999","23,399","22,230","22,750","20,480","19,460","9,750","8,750","8,310"
BLACKBERRY PHONE BB9790,Blackberry,BB9790,Phone,"32,999","31,340","32,999","29,699","28,210","28,870","25,980","24,680","12,370","11,130","10,570"
BLACKBERRY 9900 BOLD 4,Blackberry,BLACKBERRY 9900 BOLD 4,Phone,"44,999","42,740","44,999","40,499","38,470","39,370","35,430","33,660","16,870","15,180","14,420"
HTC PHONE 8S- A620,HTC,8S- A620,Phone,"21,999","20,890","21,999","19,799","18,810","19,250","17,330","16,460","8,250","7,250","6,890"
HTC PHONE 8X - C620,HTC,8X - C620,Phone,"41,999","39,890","41,999","37,799","35,910","36,750","33,080","31,430","15,750","14,180","13,470"
LG PHONE - E615 - L5,LG,E615 - L5,Phone,"14,499","13,770","14,499","13,049","12,400","12,690","11,420","10,850","5,440","4,440","4,220"
LG PHONE A290- TRI SIM,LG,A290- TRI SIM,Phone,"6,999","6,640","6,999","5,999","5,700","6,120","5,120","4,860","2,620","1,620","1,540"
LG PHONE C333- TRI-SIM,LG,C333- TRI-SIM,Phone,"5,899","5,600","5,899","4,899","4,650","5,160","4,160","3,950","2,210","1,210","1,150"
LG PHONE- L3 DUAL- E-405,LG,L3 DUAL- E-405,Phone,"8,999","8,540","8,999","7,999","7,600","7,870","6,870","6,530","3,370","2,370","2,250"
