town_name,brand_1,brand_2,brand_3,brand_4,brand_5
Chuka,Simba Telecom,,,,
Karatina,Simba Telecom,,,,
Maua,Simba Telecom,,,,
Nkubu,Simba Telecom,,,,
Nyeri,Simba Telecom,,,,
Mariakani,Simba Telecom,,,,
Mtwapa,Simba Telecom,,,,
Taveta,Simba Telecom,,,,
Voi,Simba Telecom,,,,
Wundanyi,Simba Telecom,,,,
Emali,Simba Telecom,,,,
Kibwezi,Simba Telecom,,,,
Kitui,Simba Telecom,,,,
Mutomo,Simba Telecom,,,,
Mwingi,Simba Telecom,,,,
Wote,Simba Telecom
Bondo,Simba Telecom
Homabay,Simba Telecom
Kehancha,Simba Telecom
Kilgoris,Simba Telecom
Mbita,Simba Telecom
Nyamira,Simba Telecom
Rongo,Simba Telecom
Sori,Simba Telecom
Bomet,Simba Telecom
Kapenguria,Simba Telecom
Kapsabet,Simba Telecom
Mois Bridge,Simba Telecom
Bungoma,Simba Telecom
Busia,Simba Telecom
Kitale,Simba Telecom
Malaba,Simba Telecom
Mbale,Simba Telecom
Mumias,Simba Telecom
Webuye,Simba Telecom
