Brand,Outlet,Town,Outlet Name,location,code
FoneXpress,Nakumatt,Eldoret,Nakumatt Eldoret,"Eldo-Center, Uganda Road",FXP001
FoneXpress,Nakumatt,Eldoret,Nakumatt Household,"Household Mall, Oginga Odinga Street",FXP002
FoneXpress,Nakumatt,Kakamega,Nakumatt Kakamega,"Holden Mall Kakamega-Webuye Highway, Kakamega ",FXP003
FoneXpress,Nakumatt,Kiambu,Nakumatt Ridgeways,Along Kiambu Road,FXP004
FoneXpress,Nakumatt,Kisii,Nakumatt Kisii,Along Moi Highway,FXP005
FoneXpress,Nakumatt,Kisumu,Nakumatt City,Junction of Nairobi Rd & Ondiek Highway,FXP006
FoneXpress,Nakumatt,Kisumu,Nakumatt Nyanza,"Oginga Odinga Road, Kisumu ",FXP007
FoneXpress,Nakumatt,Meru,Nakumatt Meru,Meru - Nanyuki Highway,FXP008
FoneXpress,Nakumatt,Mombasa,Nakumatt CINEMAX,New Nyali Road,FXP009
FoneXpress,Nakumatt,Mombasa,Nakumatt Diani,"Center Point Mall. Along Palm Beach Rd, Diani",FXP010
FoneXpress,Nakumatt,Mombasa,Nakumatt Likoni,"Nyerere Avenue, near Likoni Ferry",FXP011
FoneXpress,Nakumatt,Mombasa,Nakumatt Nyali,"Malindi Rd, Mombasa ",FXP012
FoneXpress,Nakumatt,Nairobi,Nakumatt City Hall ,Wabera Street,FXP013
FoneXpress,Nakumatt,Nairobi,Nakumatt Embakasi,"Next to City Cabanas, Airport South Road",FXP014
FoneXpress,Nakumatt,Nairobi,Nakumatt Express,"Wendani, Thika Road",FXP015
FoneXpress,Nakumatt,Nairobi,Nakumatt Galleria,"Galleria Mall, Langata Road",FXP016
FoneXpress,Nakumatt,Nairobi,Nakumatt Haile selassie,"Along Haile Selassie Avenue, Nairobi ",FXP017
FoneXpress,Nakumatt,Nairobi,Nakumatt Highridge,"Highridge Shopping Center, 3rd Avenue,Parklands",FXP018
FoneXpress,Nakumatt,Nairobi,Nakumatt Junction,"Dagoretti Corner, Ngong Road",FXP019
FoneXpress,Nakumatt,Nairobi,Nakumatt Karen,"Karen Shopping Center, Nairobi ",FXP020
FoneXpress,Nakumatt,Nairobi,Nakumatt Lifestyle,Monrovia/Moktah Daddah Street,FXP021
FoneXpress,Nakumatt,Nairobi,Nakumatt Mega,"Along Uhuru Highway, Opposite Nyayo Stadium",FXP022
FoneXpress,Nakumatt,Nairobi,Nakumatt Moi Avenue,"Development House, Moi Avenue",FXP023
FoneXpress,Nakumatt,Nairobi,Nakumatt Ngong,"Prestige Plaza, Ngong Road",FXP024
FoneXpress,Nakumatt,Nairobi,Nakumatt Ronald Ngala,Ronald Ngala Street,FXP025
FoneXpress,Nakumatt,Nairobi,Nakumatt Thika Road,"Roysambu Roundabout, Nairobi ",FXP026
FoneXpress,Nakumatt,Nairobi,Nakumatt Ukay,"Mwanza Road/ Ring Road, Westlands",FXP027
FoneXpress,Nakumatt,Nairobi,Nakumatt Village,"Village Market, Gigiri",FXP028
FoneXpress,Nakumatt,Nairobi,Nakumatt Westgate,"Westgate Mall, Mwanza Rd. Opp Ukay, Westlands",FXP029
FoneXpress,Nakumatt,Nairobi,Nakumatt Westgate,"Westgate Mall, Mwanza Road, Westlands",FXP030
FoneXpress,Nakumatt,Nairobi,SERVICE CENTRE,"Off Parklands Road, opposite Corner Plaza, Amee Arcade, Westlands",FXP031
FoneXpress,Nakumatt,Nakuru,Nakumatt Nakuru,Westend Mall,FXP032
FoneXpress,Nakumatt,Nanyuki,Nakumatt Nanyuki,"Nanyuki Mall, Kenyatta Highway",FXP033
FoneXpress,Nakumatt,Thika,Nakumatt Thika,"Zuri Mall, Thika ",FXP034
Tuscom,Tuskys,Athi River,Tuskys Athi River,Athi River ,TSK001
Tuscom,Tuskys,Eldoret,Tuskys Eldoret,Eldoret Town ,TSK002
Tuscom,Tuskys,Eldoret ,Tuskys Zion,"Zion Mall, Uganda Road",TSK003
Tuscom,Tuskys,Kakamega,Tuskys Kakamega,"Opposite Muliro Gardens, Kakamega-Kisii Road",TSK004
Tuscom,Tuskys,Kericho,Tuskys Kericho,Kericho Town ,TSK005
Tuscom,Tuskys,Kilifi,Tuskys Kilifi,Kilifi Town,TSK006
Tuscom,Tuskys,Kisumu,Tuskys Kisumu,Kisumu United Mall,TSK007
Tuscom,Tuskys,Matasia,Tuskys Matasia,Ngong - Matasia - Kiserian Road,TSK008
Tuscom,Tuskys,Mombasa,Tuskys Bandari,"Haile Selassie Avenue, next to Railways",TSK009
Tuscom,Tuskys,Mombasa,Tuskys Mtwapa,Malindi Road,TSK010
Tuscom,Tuskys,Nairobi,Tuskys Buru Buru,Buru Buru Shopping Centre,TSK011
Tuscom,Tuskys,Nairobi,Tuskys Daima,"Tom Mboya Street, next to Fire Station",TSK012
Tuscom,Tuskys,Nairobi,Tuskys Embakasi,Opp Coca Cola HQ,TSK013
