Brand,Outlet,Town,Outlet Name,location,code
Simba Telecom,,Chuka,Chuka,KAANWA ROAD OPPOSITE BARCLAYS BANK,STL001
Simba Telecom,,Karatina,Karatina,CELEBRATION BUILDING COMMERICAL STREET,STL002
Simba Telecom,,Maua,Maua,BASIN ROAD NEXT NEAR MAIN STAGE,STL003
Simba Telecom,,Nkubu,Nkubu,MIKUMBUNE ROUTE-KIONYO STAGE NEAR COOP BK/KENOL STATION/PAMA SUPERMARKET,STL004
Simba Telecom,,Nyeri,Nyeri,"NYERI SHOPPING COMPLEX, KIMATHI ST.",STL005
Simba Telecom,,Kilifi,Kilifi,NEXT TO OLOITIPTIP MARKET ALONG BIASHARA STREET,STL006
Simba Telecom,,Malindi,Malindi,"HATIM CENTRE BLDG, Sir Ali STRT- NEAR SIMBA BOOKING OFF",STL007
Simba Telecom,,Mariakani,Mariakani,"AT MARIAKANI,directly opposite Mariakani post office/near AP Camp",STL008
Simba Telecom,,Mombasa,Mombasa - Uhuru Gardens,"REGAL CHAMBERS,MOI AVE,OFF UHURU GARDENS",STL009
Simba Telecom,,Mombasa,Mombasa - Digo Road,"ZAVERCHAND PUNJA WAREHOUSE, DIGO ROAD",STL010
Simba Telecom,,Mtwapa,Mtwapa,ALONG MSA- KILIFI ROAD NEAR TUSKYS MTWAPA,STL011
Simba Telecom,,Taveta,Taveta,"KAWIT BLDG OPP SHELL PETROL, CUSTOMS RD NEAR POLICE STATION",STL012
Simba Telecom,,Voi,Voi,"KWENYA BUILDING,OPPOSITE SHEKHA WHOLESALERS-BIASHARA STRT",STL013
Simba Telecom,,Wundanyi,Wundanyi,"TOWN CENTRE (END OF THE STAGE),IMAGE BUILDING,GROUND FLR",STL014
Simba Telecom,,Emali,Emali,"SYOKATI HOUSE, ALONG NRB-MSA HIGHWAY",STL015
Simba Telecom,,Kibwezi,Kibwezi,"MARIAM ARCADE BUILDING, SHOP NUMBER 11",STL016
Simba Telecom,,Kitui,Kitui,"NGULI HSE, KILUNGYA ST",STL017
Simba Telecom,,Machakos,Machakos,"NDUKU HOUSE, MWATU WA NGOMA STREET",STL018
Simba Telecom,,Mutumo,Mutumo,OPPOSITE KCB BANK,STL019
Simba Telecom,,Mwingi,Mwingi,GROUND FLOOR VEROSAM BUILDING,STL020
Simba Telecom,,Wote,Wote,"NEAR KCB BANK,",STL021
Simba Telecom,,Nairobi,Nairobi - KBS Terminus,"12TH ST, SECTION 2 OPP KBS TERMINUS",STL022
Simba Telecom,,Nairobi,Nairobi - Wabera Street,"GROUND FLOOR PRUDENTIAL BUILDING, WABERA STREET",STL023
Simba Telecom,,Nairobi,Nairobi - Mercantile House,MERCANTILE HOUSE OPP NYATI HOUSE,STL024
Simba Telecom,,Nairobi,Nairobi - Capital Centre,NAMANGA ROAD - CAPITAL CENTRE,STL025
Simba Telecom,,Nairobi,Nairobi - Westlands,WESTLANDS MANSION-MPAKA ROAD,STL026
Simba Telecom,,Bondo,Bondo,BUS PARK 2,STL027
Simba Telecom,,Homa Bay,Homa Bay,RONGO ROAD OPP KCB OGOLLA OSONGO BUILDING,STL028
Simba Telecom,,Kehancha,Kehancha,KEHANCHA-NTIMARU ROAD,STL029
Simba Telecom,,KILGORIS,Kilgoris,KISII-KILGORIS RD OPP TOTAL STATION/DISTRICT HOSP,STL030
Simba Telecom,,Kisumu,Kisumu,"OPPOSITE RIVERSAND HOTEL AT KHAMAS, JUA KALI",STL031
Simba Telecom,,Mbita,Mbita,"PLOT 55, NEAR MBITA HOMABAY STAGE",STL032
Simba Telecom,,Nyamira,Nyamira,NYAMIRA- MIRUKA RD BETWEEN EQUITY AND BARCLAYS BANK,STL033
Simba Telecom,,Rongo,Rongo,"HIGHWAY TO HOMABAY,HASS PETROL STN,NEW MARKET",STL034
Simba Telecom,,Sori,Sori,ROHO SINGO BUIDLING SORI- HOMABAY ROAD ,STL035
Simba Telecom,,Bomet,Bomet,BOMET KIPGAMBA STREET -GIMTAS BUILDING NEAR COOP,STL036
Simba Telecom,,Eldoret,Eldoret,"CORNER HOUSE, KENYATTA STREET, LANGAS STAGE",STL037
Simba Telecom,,Kapenguria,Kapenguria,"ZAIRE BUILDING, LOTODO STREET OPP ACHEY SUPERMARKET",STL038
Simba Telecom,,Kapsabet,Kapsabet,"PAMELA JELIMO,OPP KNUT BUILDING-Jean Marie Road",STL039
Simba Telecom,,Kericho,Kericho,"KCC ROUNDABOUT,ISAAC SALAT STREET",STL040
Simba Telecom,,Mois Bridge,Mois Bridge,FROM THE HIGHWAY GOING TO CEREAL BOARD ON YOUR LEFT,STL041
Simba Telecom,,Nakuru,Nakuru,MBURU GICHURU ROAD NEXT TO PIONEER BUILDING,STL042
Simba Telecom,,Bungoma,Bungoma,"NEXT TO WESTERN AUTO SPARES, MOI AVE.",STL043
Simba Telecom,,Busia,Busia,"DISTRICT HOSPITAL STREET,OPPOSITE DISTRICT HOSPITAL",STL044
Simba Telecom,,Kakamega,Kakamega,SHEKANDU PLAZA JUNCTION CANNON AWORI RD.,STL045
Simba Telecom,,Kitale,Kitale,FORMER KITALE HOTEL BLD. ROBERT OUKO ST.,STL046
Simba Telecom,,Malaba,Malaba,"MAIN MALABA- UGANDA ROAD, RIGHT SIDE NEAR APEX CLINIC AND OPPOSITE JACKY PETROL STATION",STL047
Simba Telecom,,Mbale,Mbale,"KISUMU-KAKAMEGA HIGHWAY, OPP. EQUITY BANK",STL048
Simba Telecom,,Mumias,Mumias,UGUNJA ROAD,STL049
Simba Telecom,,Webuye,Webuye,"SEGMENT DISTRIBUTORS BLDNG, NYANGE STREET",STL050
